"Type","Subpopulation","Response","Stressor","NResp","Estimate","Estimate.num","Estimate.denom","StdError.log","LCB95Pct","UCB95Pct","WeightTotal","CellCounts.11","CellCounts.12","CellCounts.21","CellCounts.22","CellProportions.11","CellProportions.12","CellProportions.21","CellProportions.22"
"National","National","Fish_MMI","Total_Phosphorus",1546,1.25582812249678,0.470056978698286,0.374300408055635,0.0951881131076179,1.04209169665581,1.51340259049649,1036915.56596427,528,270,353,395,0.272230677210218,0.157526573855313,0.306913319256122,0.263329429678347
"WSA3_Ecoregions","Eastern Highlands","Fish_MMI","Total_Phosphorus",451,1.43703877024084,0.411161531307527,0.286117215361295,0.215849627848293,0.94131926906902,2.19381510081876,373699.13844022,196,71,101,83,0.292100330204452,0.0828517668198485,0.418326857075323,0.206721045900377
"WSA3_Ecoregions","Plains and Lowlands","Fish_MMI","Total_Phosphorus",796,1.39734065080579,0.541391040681664,0.38744384940742,0.121564156958952,1.1010998298688,1.77328235045408,506975.053470985,254,135,189,218,0.273394890657128,0.191790133544025,0.231591099345398,0.30322387645345
"WSA3_Ecoregions","West","Fish_MMI","Total_Phosphorus",299,0.959694872463517,0.436817000036724,0.455162377720561,0.186011541126282,0.666499554658688,1.38186776239395,156241.374053062,78,64,63,94,0.220928648998233,0.224955199025197,0.284840698302029,0.269275453674541
"WSA9_Ecoregions","Coastal Plains","Fish_MMI","Total_Phosphorus",194,1.37555002134176,0.753996163204917,0.548141580827021,0.176516448693103,0.973252021470687,1.94413966729204,186754.180358058,65,50,31,48,0.350337737843222,0.2934523783933,0.114303536131018,0.241906347632459
"WSA9_Ecoregions","Northern Appalachians","Fish_MMI","Total_Phosphorus",237,1.56355041766371,0.528592042710467,0.338071632829276,0.27823515689231,0.906311926299835,2.69740454432416,131855.218828021,101,52,25,59,0.280325692369524,0.158783719115312,0.249999529576866,0.310891058938298
"WSA9_Ecoregions","Northern Plains","Fish_MMI","Total_Phosphorus",142,2.12242247457995,0.454830375002185,0.214297756667037,0.226254505188569,1.36220870677415,3.30689206301553,21411.5865651114,31,23,32,56,0.167821007194028,0.135227256234628,0.201153925918612,0.495797810652731
"WSA9_Ecoregions","Southern Appalachians","Fish_MMI","Total_Phosphorus",214,1.7043870068415,0.369172022220762,0.216601054067465,0.32168653737312,0.907294206504154,3.20175644048581,241843.9196122,95,19,76,24,0.298519955931799,0.0414530655334505,0.510100248102208,0.149926730432542
"WSA9_Ecoregions","Southern Plains","Fish_MMI","Total_Phosphorus",117,1.49507364526932,0.466575952351772,0.312075564858027,0.278767457169625,0.865715705087687,2.58196217492956,34466.2183223394,36,20,29,32,0.286327515506908,0.120561577294338,0.327350737870011,0.265760169328743
"WSA9_Ecoregions","Temporate Plains","Fish_MMI","Total_Phosphorus",200,1.55526305370471,0.445162306692041,0.28622959031377,0.220280355007814,1.00995233369365,2.39500725482021,174090.313618745,75,27,45,53,0.22565072265139,0.14114112948145,0.281244670914564,0.351963476952597
"WSA9_Ecoregions","Upper Midwest","Fish_MMI","Total_Phosphorus",143,1.39425207750749,0.393339066285214,0.282114742829279,0.312332554340011,0.755933075368776,2.57157534043027,90252.7546067307,47,15,52,29,0.226384297746966,0.119745038384101,0.349160612869191,0.304710050999741
"WSA9_Ecoregions","Western Mountains","Fish_MMI","Total_Phosphorus",177,0.813351935186693,0.40941413853252,0.503366526617466,0.21513834397848,0.533522100084673,1.23995120420869,127511.268320485,43,39,41,54,0.211600989427429,0.243207325817311,0.305237511035402,0.239954173719858
"WSA9_Ecoregions","Xeric","Fish_MMI","Total_Phosphorus",122,2.16844734902423,0.574470266657795,0.264922395702298,0.271507088361967,1.27362515798504,3.6919527507837,28730.1057325776,35,25,22,40,0.262327094009389,0.14394777571559,0.194314631828885,0.399410498446135
"Std_Fed_Regions","Region_1","Fish_MMI","Total_Phosphorus",124,1.02816271586808,0.253427451580989,0.246485743617945,0.518278726242912,0.372307855292625,2.83936681773837,52446.0361625691,34,30,13,47,0.0984119513071121,0.150769423828988,0.289912007653041,0.460906617210859
"Std_Fed_Regions","Region_2","Fish_MMI","Total_Phosphorus",85,2.20901213858675,0.766416723712261,0.346949982901673,0.354241707624549,1.10323241604398,4.42312477176983,46469.9102256161,57,12,8,8,0.567509906781647,0.0900433336042545,0.172961809483654,0.169484950130445
"Std_Fed_Regions","Region_3","Fish_MMI","Total_Phosphorus",116,0.699366984872011,0.266377982184362,0.380884411112302,0.369085406111281,0.339265000837866,1.44168770230064,123183.457803531,39,29,30,18,0.175186667757248,0.130391220059955,0.482475299349328,0.211946812833468
"Std_Fed_Regions","Region_4","Fish_MMI","Total_Phosphorus",196,0.975360620585535,0.503302219823904,0.5160165473174,0.192013630434152,0.669457357259722,1.42104396922764,218987.640210357,68,37,50,41,0.316588425897562,0.191430523219456,0.312434084689278,0.179546966193704
"Std_Fed_Regions","Region_5","Fish_MMI","Total_Phosphorus",251,1.47450079242709,0.483131148450292,0.327657435609131,0.213787192714051,0.969770618345978,2.24192458065631,212106.715430238,93,32,70,56,0.260655575884283,0.150881962023096,0.278857508131042,0.309604953961579
"Std_Fed_Regions","Region_6","Fish_MMI","Total_Phosphorus",165,2.28500458227002,0.747009295276827,0.326918073194722,0.284309104633004,1.30882845007451,3.98925156363905,107780.683771429,68,33,23,41,0.420790066400796,0.142765240563304,0.142509572655046,0.293935120380854
"Std_Fed_Regions","Region_7","Fish_MMI","Total_Phosphorus",157,1.2194005567072,0.322268156989341,0.264284082221165,0.340597658210553,0.625502625102149,2.37718861284556,97369.7925451216,50,12,63,32,0.209912693604711,0.0921399147856943,0.441447638007741,0.256499753601853
"Std_Fed_Regions","Region_8","Fish_MMI","Total_Phosphorus",285,1.27350492456324,0.579541737656925,0.455076165375399,0.20655178070662,0.849539221576544,1.90905228586988,107047.250455575,87,52,56,90,0.303793408710308,0.216527100624435,0.22040250155931,0.259276989105948
"Std_Fed_Regions","Region_9","Fish_MMI","Total_Phosphorus",67,2.05383379285447,0.524210802781407,0.255235260323984,0.392630596245929,0.951387685709558,4.4337690218525,15616.4527243387,16,19,6,26,0.0719257897407832,0.220215002116616,0.0652819697314607,0.64257723841114
"Std_Fed_Regions","Region_10","Fish_MMI","Total_Phosphorus",100,0.424480975984985,0.169603533157374,0.399555086688674,0.401161415781065,0.193369963386314,0.93181017267503,55907.626635492,16,14,34,36,0.0914947510529473,0.184010088845983,0.447967778704909,0.276527381396162
"Major_Basins","Arkansas-White-Red Region","Fish_MMI","Total_Phosphorus",93,2.96006720177137,0.730655493429289,0.246837468079119,0.274591481480558,1.72810003134461,5.070307088754,42810.8869853397,29,16,16,32,0.336885019363702,0.133027545398275,0.124187295007811,0.405900140230212
