"Type","Subpopulation","Response","Stressor","NResp","Estimate","StdError.log","LCB95Pct","UCB95Pct","WeightTotal","CellCounts.11","CellCounts.12","CellCounts.21","CellCounts.22","CellProportions.11","CellProportions.12","CellProportions.21","CellProportions.22"
"National","National","Fish_MMI","Total_Phosphorus",1546,0.129042250880927,0.0604812098350439,0.0194295832723959,0.226401910755088,1036915.56596427,528,270,353,395,0.272230677210218,0.157526573855313,0.306913319256122,0.263329429678347
"WSA3_Ecoregions","Eastern Highlands","Fish_MMI","Total_Phosphorus",451,0.236923282648685,0.168050716072191,-0.0607504669554906,0.451062153915516,373699.13844022,196,71,101,83,0.292100330204452,0.0828517668198485,0.418326857075323,0.206721045900377
"WSA3_Ecoregions","Plains and Lowlands","Fish_MMI","Total_Phosphorus",796,0.167118825304479,0.0723864099190216,0.0401608282704973,0.277284078839738,506975.053470985,254,135,189,218,0.273394890657128,0.191790133544025,0.231591099345398,0.30322387645345
"WSA3_Ecoregions","West","Fish_MMI","Total_Phosphorus",299,-0.0208092976192378,0.0921209012925677,-0.222807433984432,0.147820341007881,156241.374053062,78,64,63,94,0.220928648998233,0.224955199025197,0.284840698302029,0.269275453674541
"WSA9_Ecoregions","Coastal Plains","Fish_MMI","Total_Phosphorus",194,0.148570990758051,0.0954648213470091,-0.0266165147583313,0.293863533892811,186754.180358058,65,50,31,48,0.350337737843222,0.2934523783933,0.114303536131018,0.241906347632459
"WSA9_Ecoregions","Northern Appalachians","Fish_MMI","Total_Phosphorus",237,0.23009704646025,0.178511988922822,-0.0924099977326784,0.457391859192522,131855.218828021,101,52,25,59,0.280325692369524,0.158783719115312,0.249999529576866,0.310891058938298
"WSA9_Ecoregions","Northern Plains","Fish_MMI","Total_Phosphorus",142,0.292859314742495,0.128094454582877,0.091049940384373,0.449862021068669,21411.5865651114,31,23,32,56,0.167821007194028,0.135227256234628,0.201153925918612,0.495797810652731
"WSA9_Ecoregions","Southern Appalachians","Fish_MMI","Total_Phosphorus",214,0.362887522268867,0.278602208538269,-0.0999241577168271,0.630963365580334,241843.9196122,95,19,76,24,0.298519955931799,0.0414530655334505,0.510100248102208,0.149926730432542
"WSA9_Ecoregions","Southern Plains","Fish_MMI","Total_Phosphorus",117,0.233020569046151,0.186995305440234,-0.106507621517081,0.468365661413378,34466.2183223394,36,20,29,32,0.286327515506908,0.120561577294338,0.327350737870011,0.265760169328743
"WSA9_Ecoregions","Temporate Plains","Fish_MMI","Total_Phosphorus",200,0.219640271043678,0.136033743057304,-0.0187954136850894,0.402273215606549,174090.313618745,75,27,45,53,0.22565072265139,0.14114112948145,0.281244670914564,0.351963476952597
"WSA9_Ecoregions","Upper Midwest","Fish_MMI","Total_Phosphorus",143,0.184944142606706,0.205337481074465,-0.218908073400594,0.454990851920635,90252.7546067307,47,15,52,29,0.226384297746966,0.119745038384101,0.349160612869191,0.304710050999741
"WSA9_Ecoregions","Western Mountains","Fish_MMI","Total_Phosphorus",177,-0.106766322745431,0.100582327481632,-0.347943746080114,0.0912590405010569,127511.268320485,43,39,41,54,0.211600989427429,0.243207325817311,0.305237511035402,0.239954173719858
"WSA9_Ecoregions","Xeric","Fish_MMI","Total_Phosphorus",122,0.34792325234974,0.189357766328335,0.0548943990233316,0.550098862617323,28730.1057325776,35,25,22,40,0.262327094009389,0.14394777571559,0.194314631828885,0.399410498446135
"Std_Fed_Regions","Region_1","Fish_MMI","Total_Phosphorus",124,0.0108179494421762,0.203240690659352,-0.473245138632698,0.335832779292998,52446.0361625691,34,30,13,47,0.0984119513071121,0.150769423828988,0.289912007653041,0.460906617210859
"Std_Fed_Regions","Region_2","Fish_MMI","Total_Phosphorus",85,0.472362142572582,0.299671042872072,0.0506717553870113,0.706738201280325,46469.9102256161,57,12,8,8,0.567509906781647,0.0900433336042545,0.172961809483654,0.169484950130445
"Std_Fed_Regions","Region_3","Fish_MMI","Total_Phosphorus",116,-0.246439700964707,0.21616776870929,-0.904029232438213,0.184039876241027,123183.457803531,39,29,30,18,0.175186667757248,0.130391220059955,0.482475299349328,0.211946812833468
"Std_Fed_Regions","Region_4","Fish_MMI","Total_Phosphorus",196,-0.01574271631852,0.119456437213644,-0.283704963652809,0.196284742236793,218987.640210357,68,37,50,41,0.316588425897562,0.191430523219456,0.312434084689278,0.179546966193704
"Std_Fed_Regions","Region_5","Fish_MMI","Total_Phosphorus",251,0.203821266766499,0.138745836070682,-0.0449878542255766,0.393389528222722,212106.715430238,93,32,70,56,0.260655575884283,0.150881962023096,0.278857508131042,0.309604953961579
"Std_Fed_Regions","Region_6","Fish_MMI","Total_Phosphorus",165,0.419900639467232,0.19245771598573,0.154092858289364,0.602184150603093,107780.683771429,68,33,23,41,0.420790066400796,0.142765240563304,0.142509572655046,0.293935120380854
"Std_Fed_Regions","Region_7","Fish_MMI","Total_Phosphorus",157,0.125039563043349,0.236881020076647,-0.391944456836065,0.450009831585158,97369.7925451217,50,12,63,32,0.209912693604711,0.0921399147856943,0.441447638007741,0.256499753601853
"Std_Fed_Regions","Region_8","Fish_MMI","Total_Phosphorus",285,0.125392604728885,0.12332253870696,-0.11374426432431,0.313183357826763,107047.250455575,87,52,56,90,0.303793408710308,0.216527100624435,0.22040250155931,0.259276989105948
"Std_Fed_Regions","Region_9","Fish_MMI","Total_Phosphorus",67,0.126327895870937,0.0930781553155271,-0.0485200477070202,0.272018739934872,15616.4527243387,16,19,6,26,0.0719257897407832,0.220215002116616,0.0652819697314607,0.64257723841114
"Std_Fed_Regions","Region_10","Fish_MMI","Total_Phosphorus",100,-0.450265217973131,0.146495031005038,-0.932610023947839,-0.0883050260529024,55907.626635492,16,14,34,36,0.0914947510529473,0.184010088845983,0.447967778704909,0.276527381396162
"Major_Basins","Arkansas-White-Red Region","Fish_MMI","Total_Phosphorus",93,0.47471617788269,0.206006411623439,0.213412571782721,0.649214971050934,42810.8869853397,29,16,16,32,0.336885019363702,0.133027545398275,0.124187295007811,0.405900140230212
"Major_Basins","California Region","Fish_MMI","Total_Phosphorus",33,0.00688942573361839,0.0514579442150639,-0.0984965256078665,0.102165013973132,12200.5573919358,3,9,1,20,0.0191252897282036,0.249981260277348,0.0455000972491923,0.685393352745256
"Major_Basins","Great Basin Region","Fish_MMI","Total_Phosphorus",19,0.689925736864087,0.498700130211468,0.175937710098921,0.883326721975324,5066.40403667994,7,4,2,6,0.179392022357074,0.0451833423962115,0.171748697699516,0.603675937547198
